"['22', '1']"
"['22', '1']"
"['23', '1']"
"['21', '0']"
"['17', '0']"
"['16', '1']"
"['19', '1']"
"['16', '1']"
"['19', '1']"
"['20', '0']"
"['17', '0']"
"['17', '1']"
"['16', '1']"
"['16', '0']"
"['16', '1']"
"['16', '1']"
"['16', '0']"
"['16', '0']"
"['16', '0']"
"['14', '1']"
"['15', '1']"
"['17', '1']"
"['15', '1']"
"['13', '1']"
"['15', '1']"
"['14', '0']"
"['12', '0']"
"['14', '1']"
"['14', '0']"
"['15', '1']"
"['15', '0']"
"['13', '0']"
"['17', '0']"
"['16', '0']"
"['15', '1']"
"['17', '0']"
"['16', '1']"
"['15', '1']"
"['16', '1']"
"['13', '1']"
"['14', '1']"
"['15', '0']"
"['15', '1']"
"['14', '0']"
"['33', '0']"
"['54', '1']"
"['35', '1']"
"['25', '0']"
"['22', '1']"
"['24', '0']"
"['23', '1']"
"['20', '1']"
"['18', '1']"
"['16', '1']"
"['15', '0']"
"['14', '1']"
"['17', '1']"
"['18', '1']"
"['21', '1']"
"['19', '1']"
"['18', '1']"
"['20', '1']"
"['18', '1']"
"['20', '1']"
"['24', '1']"
"['25', '1']"
"['24', '0']"
"['24', '0']"
"['28', '1']"
"['26', '1']"
"['29', '1']"
"['63', '1']"
"['100', '0']"
"['68', '1']"
"['51', '0']"
"['41', '1']"
"['37', '1']"
"['44', '1']"
"['47', '1']"
"['53', '1']"
"['65', '1']"
"['64', '1']"
"['65', '1']"
"['58', '0']"
"['49', '1']"
"['52', '1']"
"['61', '1']"
"['65', '1']"
"['63', '1']"
"['61', '0']"
"['67', '1']"
"['143.92592592592592', '1']"
"['205.96296296296296', '0']"
"['141.44444444444443', '1']"
"['109.18518518518518', '1']"
"['116.62962962962962', '1']"
"['104.22222222222221', '0']"
"['91.81481481481481', '1']"
"['94.29629629629629', '1']"
"['96.77777777777777', '1']"
"['163.77777777777777', '1']"
"['248.14814814814815', '1']"
"['220.85185185185185', '1']"
"['166.25925925925927', '0']"
"['143.92592592592592', '0']"
"['151.37037037037035', '1']"
"['136.48148148148147', '1']"
"['121.5925925925926', '1']"
"['173.7037037037037', '0']"
"['158.8148148148148', '0']"
"['171.22222222222223', '0']"
"['121.5925925925926', '1']"
"['121.5925925925926', '1']"
"['111.66666666666666', '1']"
"['109.18518518518518', '0']"
"['99.25925925925925', '1']"
"['99.25925925925925', '0']"
"['81.88888888888889', '0']"
"['91.81481481481481', '0']"
"['104.22222222222221', '0']"
"['101.74074074074073', '0']"
"['181.14814814814815', '0']"
"['126.55555555555556', '1']"
"['94.29629629629629', '0']"
"['84.37037037037037', '0']"
"['86.85185185185185', '1']"
"['79.4074074074074', '1']"
"['74.44444444444444', '1']"
"['71.96296296296296', '1']"
"['69.48148148148148', '1']"
"['71.96296296296296', '0']"
"['64.51851851851852', '0']"
"['62.03703703703704', '1']"
"['64.51851851851852', '1']"
"['59.55555555555556', '1']"
"['57.07407407407407', '1']"
"['59.55555555555556', '1']"
"['67.0', '1']"
"['59.55555555555556', '1']"
"['64.51851851851852', '1']"
"['79.4074074074074', '0']"
"['79.4074074074074', '0']"
"['74.44444444444444', '1']"
"['71.96296296296296', '0']"
"['71.96296296296296', '1']"
"['67.0', '1']"
"['64.51851851851852', '0']"
"['67.0', '0']"
"['64.51851851851852', '0']"
"['64.51851851851852', '1']"
"['81.88888888888889', '0']"
"['81.88888888888889', '0']"
"['57.07407407407407', '1']"
"['59.55555555555556', '1']"
"['69.48148148148148', '1']"
"['76.92592592592592', '0']"
"['84.37037037037037', '0']"
"['74.44444444444444', '0']"
"['71.96296296296296', '0']"
"['59.55555555555556', '1']"
"['59.55555555555556', '1']"
"['84.37037037037037', '0']"
"['94.29629629629629', '1']"
"['71.96296296296296', '0']"
"['62.03703703703704', '1']"
"['57.07407407407407', '1']"
"['54.59259259259259', '1']"
"['54.59259259259259', '0']"
"['52.11111111111111', '0']"
"['54.59259259259259', '1']"
"['54.59259259259259', '0']"
"['57.07407407407407', '0']"
"['84.37037037037037', '0']"
"['64.51851851851852', '0']"
"['62.03703703703704', '1']"
"['94.29629629629629', '0']"
"['86.85185185185185', '0']"
"['74.44444444444444', '0']"
"['69.48148148148148', '0']"
"['89.33333333333333', '1']"
"['62.03703703703704', '0']"
"['66.0394265232975', '0']"
"['62.03703703703704', '1']"
"['68.04062126642772', '0']"
"['68.04062126642772', '1']"
"['74.0442054958184', '0']"
"['70.04181600955795', '1']"
"['56.033452807646356', '1']"
"['52.0310633213859', '0']"
"['82.04898446833931', '0']"
"['200.1194743130227', '0']"
"['146.08721624850656', '1']"
"['92.05495818399045', '0']"
"['134.0800477897252', '0']"
"['98.05854241338112', '0']"
"['72.04301075268818', '0']"
"['72.04301075268818', '1']"
"['76.04540023894863', '1']"
"['86.05137395459977', '0']"
"['126.0752688172043', '1']"
"['148.0884109916368', '0']"
"['72.04301075268818', '0']"
"['60.03584229390681', '1']"
"['58.03464755077658', '0']"
"['54.03225806451613', '1']"
"['52.0310633213859', '1']"
"['48.028673835125446', '1']"
"['46.027479091995225', '0']"
"['40.02389486260454', '1']"
"['38.022700119474315', '1']"
"['42.02508960573477', '0']"
"['44.026284348865', '0']"
"['44.026284348865', '0']"
"['46.027479091995225', '0']"
"['58.03464755077658', '0']"
"['42.02508960573477', '0']"
"['38.022700119474315', '1']"
"['42.02508960573477', '1']"
"['52.0310633213859', '0']"
"['54.03225806451613', '1']"
"['50.02986857825567', '0']"
"['48.028673835125446', '0']"
"['36.02150537634409', '0']"
"['42.02508960573477', '0']"
"['42.02508960573477', '0']"
"['38.022700119474315', '1']"
"['42.02508960573477', '0']"
"['40.02389486260454', '0']"
"['36.02150537634409', '1']"
"['30.017921146953405', '1']"
"['34.02031063321386', '1']"
"['34.02031063321386', '0']"
"['36.02150537634409', '1']"
"['42.02508960573477', '0']"
"['46.027479091995225', '0']"
"['42.02508960573477', '1']"
"['34.02031063321386', '1']"
"['32.01911589008363', '0']"
"['34.02031063321386', '1']"
"['36.02150537634409', '1']"
"['40.02389486260454', '1']"
"['36.02150537634409', '0']"
"['32.01911589008363', '0']"
"['32.01911589008363', '1']"
"['28.016726403823178', '1']"
"['32.01911589008363', '0']"
"['30.017921146953405', '0']"
"['32.01911589008363', '0']"
"['30.017921146953405', '0']"
"['32.01911589008363', '0']"
"['28.016726403823178', '0']"
"['26.01553166069295', '0']"
"['28.016726403823178', '0']"
"['30.017921146953405', '1']"
"['32.01911589008363', '1']"
"['30.017921146953405', '1']"
"['28.016726403823178', '0']"
"['24.014336917562723', '0']"
"['24.014336917562723', '0']"
"['30.017921146953405', '0']"
"['30.017921146953405', '0']"
"['28.016726403823178', '1']"
"['28.016726403823178', '1']"
"['28.016726403823178', '1']"
"['24.014336917562723', '1']"
"['22.0131421744325', '0']"
"['26.01553166069295', '0']"
"['28.016726403823178', '0']"
"['26.01553166069295', '1']"
"['26.01553166069295', '1']"
"['26.01553166069295', '1']"
"['23.58741537236161', '1']"
"['22.546794105933888', '0']"
"['24.28116288331342', '1']"
"['27.056152927120667', '1']"
"['26.362405416168855', '1']"
"['29.48426921545201', '1']"
"['27.74990043807248', '1']"
"['21.85304659498208', '1']"
"['27.74990043807248', '1']"
"['31.21863799283154', '1']"
"['31.21863799283154', '0']"
"['31.21863799283154', '0']"
"['31.91238550378335', '1']"
"['31.21863799283154', '1']"
"['27.403026682596572', '1']"
"['29.1373954599761', '1']"
"['28.096774193548384', '1']"
"['32.95300677021107', '1']"
"['28.096774193548384', '0']"
"['28.096774193548384', '1']"
"['26.362405416168855', '0']"
"['21.85304659498208', '1']"
"['23.934289127837513', '0']"
"['23.2405416168857', '1']"
"['28.443647949024292', '1']"
"['29.1373954599761', '0']"
"['32.606133014735164', '0']"
"['33.99362803663879', '0']"
"['27.403026682596572', '0']"
"['26.70927917164476', '1']"
"['28.790521704500197', '1']"
"['29.48426921545201', '1']"
"['28.096774193548384', '1']"
"['26.70927917164476', '0']"
"['25.668657905217042', '0']"
"['21.85304659498208', '1']"
"['22.199920350457983', '1']"
"['23.2405416168857', '0']"
"['21.159299084030266', '0']"
"['22.893667861409796', '0']"
"['21.159299084030266', '1']"
"['27.403026682596572', '1']"
"['23.934289127837513', '1']"
"['20.812425328554358', '0']"
"['26.01553166069295', '1']"
"['28.790521704500197', '1']"
"['27.74990043807248', '1']"
"['24.97491039426523', '0']"
"['24.28116288331342', '0']"
"['21.159299084030266', '0']"
"['24.628036638789325', '1']"
"['27.056152927120667', '0']"
"['23.58741537236161', '0']"
"['21.85304659498208', '1']"
"['24.28116288331342', '0']"
"['26.01553166069295', '1']"
"['22.893667861409796', '1']"
"['19.424930306650737', '0']"
"['22.546794105933888', '0']"
"['23.934289127837513', '1']"
"['29.1373954599761', '0']"
"['25.668657905217042', '1']"
"['26.362405416168855', '1']"
"['26.362405416168855', '1']"
"['22.546794105933888', '0']"
"['22.199920350457983', '0']"
"['24.28116288331342', '1']"
"['23.934289127837513', '0']"
"['23.934289127837513', '0']"
"['21.159299084030266', '0']"
"['21.159299084030266', '0']"
"['21.159299084030266', '0']"
"['23.58741537236161', '0']"
"['24.28116288331342', '0']"
"['24.97491039426523', '0']"
"['22.893667861409796', '1']"
"['22.546794105933888', '1']"
"['21.85304659498208', '0']"
"['21.159299084030266', '0']"
"['21.50617283950617', '1']"
"['24.28116288331342', '0']"
"['28.443647949024292', '0']"
"['24.628036638789325', '1']"
"['21.159299084030266', '1']"
"['21.85304659498208', '0']"
"['21.85304659498208', '1']"
"['24.628036638789325', '0']"
"['24.97491039426523', '0']"
"['34.6873755475906', '0']"
"['28.096774193548384', '0']"
"['26.552995391705068', '0']"
"['27.170506912442395', '1']"
"['22.23041474654378', '0']"
"['27.47926267281106', '0']"
"['26.861751152073733', '1']"
"['25.00921658986175', '1']"
"['23.15668202764977', '1']"
"['23.774193548387096', '0']"
"['20.06912442396313', '0']"
"['19.142857142857142', '1']"
"['17.599078341013826', '0']"
"['22.53917050691244', '1']"
"['20.377880184331797', '0']"
"['19.76036866359447', '1']"
"['20.68663594470046', '0']"
"['18.216589861751153', '0']"
"['21.921658986175114', '0']"
"['25.93548387096774', '0']"
"['24.08294930875576', '0']"
"['23.465437788018434', '0']"
"['22.847926267281107', '1']"
"['22.847926267281107', '0']"
"['21.921658986175114', '0']"
"['18.83410138248848', '1']"
"['21.612903225806452', '0']"
"['25.62672811059908', '0']"
"['28.714285714285715', '1']"
"['30.87557603686636', '0']"
"['24.08294930875576', '0']"
"['18.83410138248848', '1']"
"['20.995391705069125', '0']"
"['22.847926267281107', '0']"
"['20.377880184331797', '0']"
"['21.921658986175114', '0']"
"['24.08294930875576', '0']"
"['25.317972350230413', '0']"
"['21.304147465437786', '1']"
"['20.06912442396313', '0']"
"['21.304147465437786', '0']"
"['27.47926267281106', '1']"
"['25.93548387096774', '1']"
"['22.23041474654378', '0']"
"['21.304147465437786', '0']"
"['19.76036866359447', '1']"
"['20.995391705069125', '0']"
"['23.465437788018434', '0']"
"['23.465437788018434', '1']"
"['22.53917050691244', '0']"
"['22.23041474654378', '1']"
"['22.23041474654378', '0']"
"['24.08294930875576', '0']"
"['29.023041474654377', '0']"
"['29.949308755760367', '1']"
"['27.788018433179722', '0']"
"['27.170506912442395', '1']"
"['25.93548387096774', '1']"
"['22.847926267281107', '0']"
"['22.23041474654378', '1']"
"['19.451612903225808', '1']"
"['21.612903225806452', '1']"
"['24.391705069124423', '1']"
"['22.23041474654378', '0']"
"['21.304147465437786', '0']"
"['21.921658986175114', '0']"
"['20.06912442396313', '1']"
"['19.142857142857142', '1']"
"['19.451612903225808', '0']"
"['20.995391705069125', '0']"
"['19.142857142857142', '1']"
"['20.06912442396313', '0']"
"['19.451612903225808', '0']"
"['19.451612903225808', '0']"
"['19.451612903225808', '1']"
"['20.377880184331797', '1']"
"['20.68663594470046', '1']"
"['20.06912442396313', '0']"
"['20.377880184331797', '1']"
"['17.599078341013826', '0']"
"['18.216589861751153', '0']"
"['19.142857142857142', '0']"
"['19.76036866359447', '1']"
"['19.142857142857142', '1']"
"['19.76036866359447', '1']"
"['23.465437788018434', '1']"
"['23.465437788018434', '0']"
"['19.451612903225808', '1']"
"['20.68663594470046', '1']"
"['23.465437788018434', '1']"
"['22.53917050691244', '0']"
"['25.62672811059908', '1']"
"['26.076319831837658', '1']"
"['22.929177783167596', '0']"
"['21.130810898213277', '0']"
"['20.681219176974693', '1']"
"['22.929177783167596', '1']"
"['22.029994340690436', '0']"
"['19.782035734497533', '1']"
"['20.231627455736113', '0']"
"['19.782035734497533', '0']"
"['18.882852292020374', '1']"
"['18.882852292020374', '1']"
"['20.231627455736113', '1']"
"['19.782035734497533', '0']"
"['19.782035734497533', '0']"
"['18.433260570781794', '1']"
"['18.882852292020374', '1']"
"['17.08448540706605', '1']"
"['17.983668849543214', '1']"
"['19.332444013258954', '1']"
"['21.130810898213277', '1']"
"['19.782035734497533', '0']"
"['19.782035734497533', '0']"
"['19.332444013258954', '1']"
"['17.983668849543214', '1']"
"['19.332444013258954', '1']"
"['22.029994340690436', '0']"
"['18.882852292020374', '0']"
"['20.681219176974693', '0']"
"['28.32427843803056', '1']"
"['25.62672811059908', '1']"
"['20.231627455736113', '0']"
"['21.130810898213277', '1']"
"['20.681219176974693', '0']"
"['23.378769504406176', '0']"
"['23.378769504406176', '0']"
"['23.828361225644755', '0']"
"['22.029994340690436', '1']"
"['19.332444013258954', '1']"
"['21.130810898213277', '0']"
"['20.231627455736113', '1']"
"['21.130810898213277', '1']"
"['19.782035734497533', '0']"
"['19.332444013258954', '0']"
"['22.929177783167596', '1']"
"['44.95917212385803', '0']"
"['19.782035734497533', '1']"
"['19.782035734497533', '0']"
"['19.782035734497533', '0']"
"['19.332444013258954', '1']"
"['17.983668849543214', '0']"
"['21.580402619451856', '0']"
"['21.580402619451856', '0']"
"['26.525911553076238', '0']"
"['25.1771363893605', '0']"
"['28.32427843803056', '1']"
"['22.479586061929016', '1']"
"['22.029994340690436', '0']"
"['22.029994340690436', '0']"
"['21.580402619451856', '0']"
"['20.231627455736113', '0']"
"['20.231627455736113', '0']"
"['26.525911553076238', '0']"
"['36.86652114156359', '0']"
"['33.719379092893526', '1']"
"['28.32427843803056', '1']"
"['22.479586061929016', '0']"
"['22.029994340690436', '1']"
"['20.231627455736113', '1']"
"['22.029994340690436', '0']"
"['23.378769504406176', '1']"
"['21.580402619451856', '1']"
"['22.929177783167596', '1']"
"['19.782035734497533', '1']"
"['21.130810898213277', '1']"
"['30.572237044223463', '1']"
"['25.62672811059908', '0']"
"['24.27795294688334', '0']"
"['22.029994340690436', '0']"
"['19.782035734497533', '0']"
"['19.332444013258954', '0']"
"['19.332444013258954', '0']"
"['19.782035734497533', '1']"
"['22.479586061929016', '0']"
"['19.782035734497533', '0']"
"['22.029994340690436', '0']"
"['20.681219176974693', '1']"
"['23.378769504406176', '1']"
"['23.378769504406176', '0']"
"['23.828361225644755', '0']"
"['24.27795294688334', '0']"
"['22.518680994210634', '1']"
"['20.75940904153793', '1']"
"['21.81497221314155', '1']"
"['20.055700260468846', '1']"
"['21.11126343207247', '0']"
"['21.81497221314155', '0']"
"['22.166826603676093', '1']"
"['22.166826603676093', '0']"
"['22.166826603676093', '1']"
"['35.18543905345412', '1']"
"['22.518680994210634', '1']"
"['22.518680994210634', '0']"
"['21.11126343207247', '1']"
"['20.75940904153793', '0']"
"['20.75940904153793', '0']"
"['20.407554651003387', '0']"
